pUsername,pPassword,pUserNo
perf1@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,1
perf2@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,2
perf3@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,3
perf4@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,4
perf5@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,5
perf6@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,6
perf7@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,7
perf8@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,8
perf9@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,9
perf10@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,10
perf11@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,11
perf12@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,12
perf13@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,13
perf14@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,14
perf15@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,15
perf16@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,16
perf17@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,17
perf18@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,18
perf19@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,19
perf20@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,20
perf21@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,21
perf22@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,22
perf23@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,23
perf24@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,24
perf25@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,25
perf26@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,26
perf27@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,27
perf28@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,28
perf29@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,29
perf30@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,30
perf31@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,31
perf32@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,32
perf33@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,33
perf34@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,34
perf35@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,35
perf36@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,36
perf37@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,37
perf38@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,38
perf39@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,39
perf40@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,40
perf41@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,41
perf42@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,42
perf43@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,43
perf44@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,44
perf45@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,45
perf46@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,46
perf47@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,47
perf48@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,48
perf49@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,49
perf50@meenakshimuralidharanmindtr.onmicrosoft.com,Mindtree@123456,50
